City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
0,Houma,US,66.2,Clear,29.5958,-90.7195,,Courtyard by Marriott Houma
5,Bengkulu,ID,81.43,Clouds,-3.8004,102.2655,,Grage Hotel Bengkulu
6,Geraldton,AU,79.21,Clouds,-28.7667,114.6,,Broadwater Mariner Resort
7,Neiafu,TO,86.68,Clouds,-18.65,-173.9833,,Mystic Sands Beachfront Accommodation
11,Alta Floresta,BR,73.38,Clouds,-9.8756,-56.0861,,Floresta Amazonica Hotel
13,Atuona,PF,79.39,Clear,-9.8,-139.0333,,Villa Enata
15,Innisfail,AU,84.45,Clouds,-17.5333,146.0333,,Moondarra Motel
17,Kapaa,US,82.38,Clouds,22.0752,-159.319,,Sheraton Kauai Coconut Beach Resort
19,Tshikapa,CD,72.09,Clouds,-6.4167,20.8,,Hôtel Tshia-Muntu de Tshikapa
21,Sao Filipe,CV,73.45,Clear,14.8961,-24.4956,,Hotel Xaguate
23,Miramar,US,82.42,Clear,25.9873,-80.2323,,Stadium Hotel
24,Quatre Cocos,MU,77.11,Rain,-20.2078,57.7625,,Sunrise Attitude Hotel
25,Arraial Do Cabo,BR,74.75,Clouds,-22.9661,-42.0278,,Pousada Porto Praia
26,Sao Jose Da Coroa Grande,BR,78.04,Clouds,-8.8978,-35.1478,,Crôa Mares Hotel
29,Saint-Philippe,RE,72.99,Rain,-21.3585,55.7679,,"Chambres d'hôte ""La Trinité"""
30,Avarua,CK,86.05,Clouds,-21.2078,-159.775,,Paradise Inn
31,Matay,EG,81.57,Clouds,28.419,30.7792,,Nag Aespen
32,Aswan,EG,83.5,Clear,24.0934,32.907,,Nuba Nile
33,Sembe,CG,70.41,Rain,1.6481,14.5806,,
35,Solano,US,89.92,Clear,38.2333,-121.9511,,Westwind Inn
36,Wiwili,NI,76.33,Clouds,13.6268,-85.8254,,Hostal Gladys
38,Itoman,JP,75.22,Clouds,26.1247,127.6694,,Southern Beach Hotel & Resort Okinawa
39,Dong Hoi,VN,73.42,Clouds,17.4833,106.6,,Nam Long Hotel
42,Souillac,MU,77.38,Rain,-20.5167,57.5167,,Shanti Maurice Resort & Spa
43,Rikitea,PF,79.09,Rain,-23.1203,-134.9692,,People ThankYou
44,Faanui,PF,81.72,Rain,-16.4833,-151.75,,Bora-Bora Pearl Beach Resort & Spa
45,Carnarvon,AU,78.87,Clouds,-24.8667,113.6333,,Hospitality Carnarvon
47,Emerald,AU,85.33,Clear,-23.5333,148.1667,,The Irish Village
49,Healdsburg,US,87.85,Clear,38.6105,-122.8692,,Best Western Dry Creek Inn
50,Hithadhoo,MV,82.49,Clouds,-0.6,73.0833,,Scoop Guest House
51,Bandar-E Lengeh,IR,79.09,Clear,26.5579,54.8807,,کافی نت پارس
54,Guisa,CU,73.31,Clouds,20.255,-76.5386,,
56,Butaritari,KI,80.8,Rain,3.0707,172.7902,,Isles Sunset Lodge
57,Georgetown,MY,85.93,Clouds,5.4112,100.3354,,Cititel Penang
59,Kahului,US,84.22,Clouds,20.8947,-156.47,,Maui Seaside Hotel
62,Santarem,BR,78.93,Clouds,-2.4431,-54.7083,,Hotel Imperador
67,Amuntai,ID,80.85,Rain,-2.4177,115.2494,,Hotel Balqis
71,Afonso Claudio,BR,70.75,Clouds,-20.0742,-41.1239,,Pousada Afonso Cláudio
73,Barentu,ER,75.81,Clear,15.1139,37.5928,,
74,New Norfolk,AU,65.91,Clear,-42.7826,147.0587,,The Shingles Riverside Cottages
76,Hobart,AU,66.25,Clouds,-42.8794,147.3294,,St Ives Hobart Accommodation Tasmania
77,Hinche,HT,77.09,Clouds,19.15,-72.0167,,«Petites Soeurs de l'Incarnation»
78,Demba,CD,68.83,Clouds,-5.51,22.2667,,Guest House Du Cinquantenaire
80,Posse,BR,74.95,Clouds,-14.0931,-46.3694,,Pousada das Palmeiras
82,Marsh Harbour,BS,78.53,Clouds,26.5412,-77.0636,,Abaco Beach Resort
84,Busselton,AU,72.23,Clouds,-33.65,115.3333,,Observatory Guest House
85,Riyadh,SA,75.34,Clouds,24.6877,46.7219,,"InterContinental Riyadh, an IHG Hotel"
88,Salinopolis,BR,77.43,Rain,-0.6136,-47.3561,,Salinas Park Resort Maçarico AP101
89,Cabo San Lucas,MX,77.61,Clear,22.8909,-109.9124,,Hotel Tesoro Los Cabos
95,Bathsheba,BB,79.41,Clouds,13.2167,-59.5167,,Atlantis Hotel
96,Micheweni,TZ,81.1,Clear,-4.9667,39.8333,,
101,Matadi,CD,75.47,Clouds,-5.8167,13.45,,Hotel Vivi Palace
103,Gat,IL,83.08,Clouds,31.61,34.7642,,OlusHome
105,Touros,BR,79.61,Clouds,-5.1989,-35.4608,,INN NEW HORIZON
106,Changji,CN,68.79,Sand,44.0167,87.3167,,Lvye Holiday Resort
111,Mount Gambier,AU,71.51,Clear,-37.8333,140.7667,,The Commodore
113,Lagos,NG,82.72,Clouds,6.5833,3.75,,
116,Makakilo City,US,82.72,Clouds,21.3469,-158.0858,,Marriott's Ko Olina Beach Club
120,Airai,TL,74.16,Clouds,-8.9266,125.4092,,
128,Isangel,VU,84.42,Clouds,-19.55,169.2667,,Tanna Lodge
130,Progreso,MX,82.11,Clouds,21.2833,-89.6667,,Playa Linda Hotel
132,Hami,CN,68.25,Clear,42.8,93.45,,Laoyutang Resort
134,La Asuncion,VE,77.49,Clear,11.0333,-63.8628,,Colinas de Matasiete
136,Nobres,BR,76.24,Clouds,-14.7203,-56.3275,,Hotel Portal Nobres
137,Vaini,TO,84.36,Clouds,-21.2,-175.2,,Keleti Beach Resort
142,Saint George,US,79.39,Clear,37.1041,-113.5841,,Best Western Plus Abbey Inn
144,Vila Velha,BR,76.95,Clouds,-20.3297,-40.2925,,Hotel Vitória Palace
146,Ternate,ID,82.13,Clouds,0.8,127.4,,Sahid Bela Ternate Hotel
147,Dzaoudzi,YT,78.69,Clear,-12.7887,45.2699,,Le Rocher
149,Umm Lajj,SA,85.51,Clouds,25.0213,37.2685,,Moon light Furnished Units
151,San Patricio,US,75.29,Clear,28.017,-97.5169,,"Motel 6 Sinton, TX"
152,Sinnamary,GF,77.25,Clouds,5.3833,-52.95,,ALETHEIA Appartement Sinnamary
155,Kavieng,PG,78.73,Rain,-2.5744,150.7967,,Nusa Island Retreat
156,Edd,ER,84.06,Clear,13.9297,41.6925,,
157,Puerto Ayora,EC,78.24,Clouds,-0.7393,-90.3518,,Finch Bay Galapagos Hotel
158,El Sauzal,MX,71.42,Clear,31.9,-116.6833,,Hotel Las Rosas & Spa
163,Yenagoa,NG,78.51,Clouds,4.9247,6.2642,,Aridolf Resort Wellness and Spa
167,Alyangula,AU,87.67,Clouds,-13.8483,136.4192,,Groote Eylandt Lodge
168,Saint-Pierre,RE,73.9,Clouds,-21.3393,55.4781,,Lindsey Hôtel
169,Pisco,PE,66.25,Clear,-13.7,-76.2167,,Hotel San Isidro Oficial
173,Acapulco,MX,76.51,Clear,16.8634,-99.8901,,HS Hotsson Smart Acapulco
174,Jibuti,DJ,71.82,Clouds,11.5,42.5,,Orchid Main Camp Goubet
176,Kavaratti,IN,82.8,Clouds,10.5669,72.642,,Hotels in Lakshadweep Islands
177,San Cristobal,VE,73.58,Clouds,7.7669,-72.225,,Pirineos
178,Taltal,CL,68.63,Clouds,-25.4,-70.4833,,Residencial Karime
182,Tura,IN,79.03,Clear,25.5198,90.2201,,Hotel RIKMAN Continental
183,Wagar,SD,79.88,Clear,16.1525,36.2032,,
185,Havelock,US,71.6,Clouds,34.8791,-76.9013,,Sherwood Motel
188,Palmares Do Sul,BR,67.93,Clouds,-30.2578,-50.5097,,Hotel Campos Dourados.
189,Portland,US,75.24,Clouds,45.5234,-122.6762,,Embassy Suites by Hilton Portland Downtown
190,Yulara,AU,76.84,Clear,-25.2406,130.9889,,Desert Gardens Hotel - Ayers Rock Resort
191,Rodeo,US,89.92,Clear,38.033,-122.2669,,Captain's Cottage
192,Puerto Madero,MX,82.18,Clouds,14.7208,-92.4215,,DEPARTAMENTOS LA ESTANCIA
193,Nuevo Progreso,MX,66.54,Clouds,23.1667,-97.95,,Balneario Rio el Paraiso
194,Hilo,US,78.53,Clouds,19.7297,-155.09,,Hilo Hawaiian Hotel
