City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Houma,US,29.5958,-90.7195,66.2,24,0,9.22,Clear
1,Severo-Kurilsk,RU,50.6789,156.125,32.16,78,100,3.87,Clouds
2,Coihaique,CL,-45.5752,-72.0662,46.35,87,0,5.75,Clear
3,Port Alfred,ZA,-33.5906,26.891,56.17,83,71,4.0,Clouds
4,Yellowknife,CA,62.456,-114.3525,41.52,33,20,3.44,Clouds
5,Bengkulu,ID,-3.8004,102.2655,81.43,66,73,1.66,Clouds
6,Geraldton,AU,-28.7667,114.6,79.21,65,75,14.97,Clouds
7,Neiafu,TO,-18.65,-173.9833,86.68,70,40,10.36,Clouds
8,Karratha,AU,-20.7377,116.8463,94.08,31,19,6.89,Clouds
9,Ushuaia,AR,-54.8,-68.3,37.06,75,0,5.75,Clear
10,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,4.61,Clear
11,Alta Floresta,BR,-9.8756,-56.0861,73.38,92,17,0.34,Clouds
12,Norman Wells,CA,65.282,-126.8329,39.24,41,20,13.8,Clouds
13,Atuona,PF,-9.8,-139.0333,79.39,75,7,15.21,Clear
14,Fortuna,US,40.5982,-124.1573,59.92,71,0,5.75,Clear
15,Innisfail,AU,-17.5333,146.0333,84.45,63,24,9.06,Clouds
16,Chokurdakh,RU,70.6333,147.9167,-0.27,83,100,8.48,Clouds
17,Kapaa,US,22.0752,-159.319,82.38,74,40,19.57,Clouds
18,Nome,US,64.5011,-165.4064,0.16,55,75,9.22,Clouds
19,Tshikapa,CD,-6.4167,20.8,72.09,87,100,2.48,Clouds
20,Erdenet,MN,49.0333,104.0833,41.16,43,8,7.14,Clear
21,Sao Filipe,CV,14.8961,-24.4956,73.45,73,9,9.73,Clear
22,Indianola,US,41.3581,-93.5574,34.29,94,100,18.57,Snow
23,Miramar,US,25.9873,-80.2323,82.42,78,0,10.36,Clear
24,Quatre Cocos,MU,-20.2078,57.7625,77.11,83,67,14.76,Rain
25,Arraial Do Cabo,BR,-22.9661,-42.0278,74.75,81,15,2.33,Clouds
26,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.04,84,12,3.47,Clouds
27,Qaanaaq,GL,77.484,-69.3632,-6.07,65,0,7.96,Clear
28,Castro,BR,-24.7911,-50.0119,61.7,96,100,4.05,Rain
29,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,53,12.88,Rain
30,Avarua,CK,-21.2078,-159.775,86.05,70,100,12.66,Clouds
31,Matay,EG,28.419,30.7792,81.57,12,76,3.58,Clouds
32,Aswan,EG,24.0934,32.907,83.5,14,0,4.61,Clear
33,Sembe,CG,1.6481,14.5806,70.41,96,82,2.06,Rain
34,Upernavik,GL,72.7868,-56.1549,5.31,96,100,2.19,Clouds
35,Solano,US,38.2333,-121.9511,89.92,25,0,3.44,Clear
36,Wiwili,NI,13.6268,-85.8254,76.33,80,98,4.59,Clouds
37,Noyabrsk,RU,63.1994,75.4507,3.25,95,98,7.29,Clouds
38,Itoman,JP,26.1247,127.6694,75.22,55,40,16.11,Clouds
39,Dong Hoi,VN,17.4833,106.6,73.42,65,49,4.5,Clouds
40,Utrecht,NL,52.0,5.25,43.02,87,66,7.0,Clouds
41,Jamestown,US,42.097,-79.2353,41.02,76,100,10.36,Rain
42,Souillac,MU,-20.5167,57.5167,77.38,88,40,9.22,Rain
43,Rikitea,PF,-23.1203,-134.9692,79.09,74,5,16.02,Rain
44,Faanui,PF,-16.4833,-151.75,81.72,75,23,15.95,Rain
45,Carnarvon,AU,-24.8667,113.6333,78.87,69,75,12.66,Clouds
46,Alta,NO,69.9689,23.2717,28.18,85,75,17.0,Clouds
47,Emerald,AU,-23.5333,148.1667,85.33,48,0,9.22,Clear
48,Bredasdorp,ZA,-34.5322,20.0403,55.72,77,48,6.02,Rain
49,Healdsburg,US,38.6105,-122.8692,87.85,38,0,5.75,Clear
50,Hithadhoo,MV,-0.6,73.0833,82.49,64,48,6.06,Clouds
51,Bandar-E Lengeh,IR,26.5579,54.8807,79.09,43,5,5.66,Clear
52,Kovdor,RU,67.5662,30.4758,14.14,98,76,4.41,Clouds
53,Muros,ES,42.7762,-9.0603,59.09,80,99,23.33,Clouds
54,Guisa,CU,20.255,-76.5386,73.31,88,56,2.66,Clouds
55,Kushmurun,KZ,52.4503,64.6311,31.87,95,10,5.21,Clear
56,Butaritari,KI,3.0707,172.7902,80.8,79,100,11.68,Rain
57,Georgetown,MY,5.4112,100.3354,85.93,87,20,7.0,Clouds
58,Lishu,CN,43.3047,124.3278,59.22,27,86,30.96,Clouds
59,Kahului,US,20.8947,-156.47,84.22,58,40,23.02,Clouds
60,Ozernovskiy,RU,51.5,156.5167,31.68,74,100,6.29,Clouds
61,Cape Town,ZA,-33.9258,18.4232,60.12,64,0,18.41,Clear
62,Santarem,BR,-2.4431,-54.7083,78.93,94,20,4.61,Clouds
63,Svetlyy,RU,54.675,20.1347,44.65,76,54,19.73,Clouds
64,Zhigansk,RU,66.7697,123.3711,7.75,92,85,6.96,Clouds
65,Kuusamo,FI,65.9667,29.1833,21.24,86,0,6.91,Clear
66,Mataura,NZ,-46.1927,168.8643,55.83,68,76,12.33,Clouds
67,Amuntai,ID,-2.4177,115.2494,80.85,84,38,2.95,Rain
68,Palmer,US,42.1584,-72.3287,47.57,83,100,8.05,Mist
69,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,12.66,Clouds
70,Lebu,CL,-37.6167,-73.65,56.07,93,34,10.49,Clouds
71,Afonso Claudio,BR,-20.0742,-41.1239,70.75,97,98,2.95,Clouds
72,Leningradskiy,RU,69.3833,178.4167,-5.37,89,100,13.44,Clouds
73,Barentu,ER,15.1139,37.5928,75.81,30,0,6.35,Clear
74,New Norfolk,AU,-42.7826,147.0587,65.91,43,0,2.86,Clear
75,Port Shepstone,ZA,-30.7414,30.455,64.62,57,99,15.79,Clouds
76,Hobart,AU,-42.8794,147.3294,66.25,55,20,6.91,Clouds
77,Hinche,HT,19.15,-72.0167,77.09,69,100,5.59,Clouds
78,Demba,CD,-5.51,22.2667,68.83,91,100,2.33,Clouds
79,Kijang,KR,35.2442,129.2139,62.33,50,0,4.38,Clear
80,Posse,BR,-14.0931,-46.3694,74.95,52,76,5.44,Clouds
81,Barrow,US,71.2906,-156.7887,8.62,72,100,4.61,Clouds
82,Marsh Harbour,BS,26.5412,-77.0636,78.53,81,99,14.2,Clouds
83,Ribeira Grande,PT,38.5167,-28.7,60.85,85,96,13.69,Clouds
84,Busselton,AU,-33.65,115.3333,72.23,71,99,10.11,Clouds
85,Riyadh,SA,24.6877,46.7219,75.34,11,96,8.01,Clouds
86,Klaksvik,FO,62.2266,-6.589,34.72,74,100,33.87,Clouds
87,Albany,US,42.6001,-73.9662,46.58,93,100,6.85,Rain
88,Salinopolis,BR,-0.6136,-47.3561,77.43,88,99,8.16,Rain
89,Cabo San Lucas,MX,22.8909,-109.9124,77.61,61,0,4.0,Clear
90,Kodiak,US,57.79,-152.4072,33.31,86,100,10.36,Snow
91,Preston,GB,53.7667,-2.7167,39.18,86,4,4.36,Clear
92,Torbay,CA,47.6666,-52.7314,33.58,94,100,19.57,Clouds
93,Mago,RU,53.2514,140.1822,26.47,79,94,4.56,Clouds
94,Nalut,LY,30.3333,10.85,57.7,49,0,15.95,Clear
95,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,16.11,Clouds
96,Micheweni,TZ,-4.9667,39.8333,81.1,73,6,4.23,Clear
97,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,75,5.75,Clouds
98,Broome,US,42.2506,-75.833,45.46,82,100,12.66,Rain
99,Strezhevoy,RU,60.7333,77.5889,31.59,99,100,4.63,Snow
100,Tasiilaq,GL,65.6145,-37.6368,19.56,94,100,11.1,Snow
101,Matadi,CD,-5.8167,13.45,75.47,96,100,1.9,Clouds
102,Derbent,RU,42.0678,48.2899,46.09,70,0,6.89,Clear
103,Gat,IL,31.61,34.7642,83.08,24,100,8.84,Clouds
104,Grindavik,IS,63.8424,-22.4338,27.07,74,0,5.75,Clear
105,Touros,BR,-5.1989,-35.4608,79.61,82,81,9.44,Clouds
106,Changji,CN,44.0167,87.3167,68.79,22,98,20.13,Sand
107,Lagoa,PT,39.05,-27.9833,59.61,84,100,14.81,Clouds
