City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,62.19,94,100,4.0,Clouds
1,Lebu,CL,-37.6167,-73.65,54.48,83,89,0.2,Clouds
2,Alofi,NU,-19.0595,-169.9187,81.36,75,10,6.96,Rain
3,Miraflores,MX,19.2167,-98.8083,70.56,60,77,6.82,Clouds
4,Albany,US,42.6001,-73.9662,50.92,67,86,6.64,Clouds
5,Manokwari,ID,-0.8667,134.0833,79.27,78,100,3.74,Rain
6,Severo-Kurilsk,RU,50.6789,156.125,30.31,72,100,5.37,Clouds
7,Joao Pinheiro,BR,-17.7425,-46.1725,76.75,65,97,5.97,Clouds
8,Athabasca,CA,54.7169,-113.2854,37.33,79,100,25.03,Clouds
9,Yellowknife,CA,62.456,-114.3525,29.41,67,90,23.0,Clouds
10,Bambous Virieux,MU,-20.3428,57.7575,75.22,80,13,13.24,Clouds
11,Busselton,AU,-33.65,115.3333,60.49,66,62,12.12,Clouds
12,Ribeira Grande,PT,38.5167,-28.7,56.61,68,35,37.49,Clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,77.11,89,82,11.12,Clouds
14,Vestmannaeyjar,IS,63.4427,-20.2734,39.16,67,100,26.96,Clouds
15,Lanigan,CA,51.8501,-105.0344,46.47,46,96,21.16,Clouds
16,Port Blair,IN,11.6667,92.75,80.64,78,100,1.66,Clouds
17,East London,ZA,-33.0153,27.9116,64.44,93,100,12.35,Rain
18,Bluff,NZ,-46.6,168.3333,57.49,74,45,22.59,Clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,2.77,90,100,19.46,Clouds
20,Chingirlau,KZ,51.095,54.0814,48.54,83,100,15.28,Clouds
21,Rosetown,CA,51.5501,-108.0014,44.65,37,99,24.45,Clouds
22,Hobart,AU,-42.8794,147.3294,64.27,83,75,8.05,Clouds
23,Elat,IL,29.5581,34.9482,70.14,41,55,8.41,Clouds
24,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,94,100,3.44,Rain
25,Gambela,ET,8.25,34.5833,78.42,67,99,5.88,Rain
26,Sendafa,ET,9.15,39.0333,57.13,60,83,1.48,Clouds
27,Te Anau,NZ,-45.4167,167.7167,52.23,70,27,1.25,Clouds
28,Muzhi,RU,65.3667,64.6667,25.52,96,100,8.86,Clouds
29,Hamilton,US,39.1834,-84.5333,42.82,65,100,14.97,Clouds
30,Tuatapere,NZ,-46.1333,167.6833,54.93,68,73,3.0,Clouds
31,Chuy,UY,-33.6971,-53.4616,67.68,81,33,10.42,Clouds
32,Solvychegodsk,RU,61.3305,46.9156,38.46,95,100,9.15,Clouds
33,Salalah,OM,17.0151,54.0924,80.69,78,0,1.14,Clear
34,Nenjiang,CN,49.1833,125.2167,41.74,63,100,13.91,Clouds
35,Edgewater,US,28.9889,-80.9023,68.02,30,0,25.32,Clear
36,Pevek,RU,69.7008,170.3133,-15.0,93,37,2.19,Clouds
37,Iqaluit,CA,63.7506,-68.5145,22.69,85,100,17.0,Clouds
38,Bantou,CN,26.2151,117.4893,58.06,73,0,1.1,Clear
39,Inuvik,CA,68.3499,-133.7218,7.43,83,100,16.22,Clouds
40,Norman Wells,CA,65.282,-126.8329,15.84,57,75,19.57,Clouds
41,Cabo San Lucas,MX,22.8909,-109.9124,85.6,58,0,17.27,Clear
42,Nanakuli,US,21.3906,-158.1547,84.15,52,75,14.97,Clouds
43,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,14.97,Clouds
44,Leshukonskoye,RU,64.8989,45.7622,35.38,96,96,3.6,Clouds
45,Vaini,TO,-21.2,-175.2,80.76,89,40,8.05,Drizzle
46,Odweyne,SO,9.4092,45.064,76.24,51,30,6.13,Clouds
47,Rikitea,PF,-23.1203,-134.9692,79.23,72,11,18.19,Clouds
48,Ilulissat,GL,69.2167,-51.1,14.02,67,75,4.61,Clouds
49,Barrow,US,71.2906,-156.7887,-9.38,64,0,12.66,Clear
50,Hithadhoo,MV,-0.6,73.0833,82.8,74,53,10.11,Clouds
51,Husavik,IS,66.0449,-17.3389,23.18,83,98,5.91,Clouds
52,Hambantota,LK,6.1241,81.1185,77.92,83,91,10.04,Clouds
53,Issoire,FR,45.55,3.25,36.66,84,30,2.01,Clouds
54,Kapaa,US,22.0752,-159.319,80.58,76,40,10.36,Clouds
55,Atuona,PF,-9.8,-139.0333,79.25,80,15,21.92,Rain
56,Namibe,AO,-15.1961,12.1522,71.02,78,8,4.81,Clear
57,Constitucion,CL,-35.3333,-72.4167,58.06,78,6,5.44,Clear
58,Avarua,CK,-21.2078,-159.775,86.05,74,20,8.05,Clouds
59,Berlevag,NO,70.8578,29.0864,37.2,97,100,20.62,Clouds
60,Awang,PH,7.1531,124.2211,76.17,90,100,5.61,Clouds
61,Bethel,US,41.3712,-73.414,53.96,74,100,10.36,Rain
62,Punta Arenas,CL,-53.15,-70.9167,48.31,76,40,8.05,Clouds
63,Mataura,NZ,-46.1927,168.8643,53.53,67,41,3.58,Clouds
64,Nikolskoye,RU,59.7035,30.7861,36.88,96,100,5.3,Clouds
65,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.78,55,0,4.47,Clear
66,Hermanus,ZA,-34.4187,19.2345,60.8,80,10,20.56,Clear
67,Panlaitan,PH,12.1191,119.8486,80.38,76,72,2.48,Clouds
68,Saldanha,ZA,-33.0117,17.9442,64.42,52,0,11.21,Clear
69,Sao Filipe,CV,14.8961,-24.4956,74.25,70,46,11.03,Clouds
70,Ponta Do Sol,PT,32.6667,-17.1,61.0,73,6,4.72,Clear
71,Lagoa,PT,39.05,-27.9833,55.26,73,35,38.32,Clouds
72,Taltal,CL,-25.4,-70.4833,64.94,73,24,5.99,Clouds
73,Pacific Grove,US,36.6177,-121.9166,74.01,66,0,14.97,Clear
74,New Norfolk,AU,-42.7826,147.0587,63.91,71,88,2.55,Clouds
75,Chemal,RU,51.4111,86.005,24.93,96,59,2.59,Clouds
76,Juneau,US,58.3019,-134.4197,42.8,86,75,6.91,Clouds
77,Colwyn Bay,GB,53.2948,-3.7267,41.95,87,89,4.36,Clouds
78,La Ronge,CA,55.1001,-105.2842,41.22,65,75,11.5,Clouds
79,Jardim,BR,-21.4803,-56.1381,82.87,59,84,4.25,Clouds
80,Bandarbeyla,SO,9.4942,50.8122,79.65,80,97,5.32,Clouds
81,Aykhal,RU,66.0,111.5,6.26,99,37,2.53,Clouds
82,Yulara,AU,-25.2406,130.9889,57.04,38,0,5.75,Clear
83,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,12.66,Clouds
84,Kouango,CF,4.9934,19.9619,78.49,67,88,3.89,Clouds
85,Klaksvik,FO,62.2266,-6.589,29.32,75,100,13.89,Snow
86,Shestakovo,RU,56.4915,103.96,29.17,99,100,2.33,Snow
87,Hilo,US,19.7297,-155.09,78.24,80,100,11.5,Clouds
88,Grand Gaube,MU,-20.0064,57.6608,75.38,85,19,1.01,Clouds
89,Thompson,CA,55.7435,-97.8558,36.34,96,100,11.74,Clouds
90,Zanjan,IR,36.6736,48.4787,46.15,71,64,1.36,Clouds
91,Jamestown,US,42.097,-79.2353,37.53,43,100,12.66,Clouds
92,Esperance,AU,-33.8667,121.9,55.89,70,42,9.69,Clouds
93,Qaanaaq,GL,77.484,-69.3632,-0.51,75,94,3.83,Clouds
94,Ushuaia,AR,-54.8,-68.3,47.86,66,20,3.44,Clouds
95,Yaan,NG,7.3833,8.5667,74.39,86,100,11.18,Rain
96,Hofn,IS,64.2539,-15.2082,31.82,55,11,4.41,Clouds
97,Magomeni,TZ,-6.8,39.25,78.24,80,4,4.88,Clear
98,Asau,RO,46.4333,26.4,45.52,100,100,2.06,Clouds
99,Nome,US,64.5011,-165.4064,29.16,93,100,6.91,Snow
100,Kieta,PG,-6.2167,155.6333,82.65,70,51,1.68,Clouds
101,Gaoua,BF,10.2992,-3.2508,91.94,33,100,6.02,Clouds
102,Pereslavl-Zalesskiy,RU,56.7393,38.8563,41.61,93,100,9.95,Clouds
103,Bakchar,RU,57.0186,82.0711,16.2,97,46,4.05,Clouds
104,Zhangye,CN,38.9342,100.4517,57.22,19,2,2.35,Clear
105,Lata,PT,40.1629,-8.3327,58.82,96,62,2.37,Clouds
106,Nizwa,OM,22.9333,57.5333,82.87,15,26,7.72,Clouds
107,Brae,GB,60.3964,-1.353,37.08,60,100,19.46,Clouds
108,Kushmurun,KZ,52.4503,64.6311,40.23,74,100,13.04,Clouds
109,Arman,RU,59.7,150.1667,16.79,86,52,4.38,Clouds
